"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"442",1991,"AL","Total Electric Power Industry","Hydro",10757723
"443",1991,"AL","Total Electric Power Industry","Natural Gas",1222500
"444",1991,"AL","Total Electric Power Industry","Nuclear",15874637
"447",1991,"AL","Total Electric Power Industry","Petroleum",167824
"448",1991,"AL","Total Electric Power Industry","Wood",2216550
"449",1991,"AR","Total Electric Power Industry","Total",40651244
"450",1991,"AR","Total Electric Power Industry","Coal",19644712
"451",1991,"AR","Total Electric Power Industry","Hydro",3546966
"452",1991,"AR","Total Electric Power Industry","Natural Gas",3324886
"453",1991,"AR","Total Electric Power Industry","Nuclear",12661793
"455",1991,"AR","Total Electric Power Industry","Petroleum",68257
"457",1991,"AR","Total Electric Power Industry","Wood",1373914
"458",1991,"AZ","Total Electric Power Industry","Total",67202551
"459",1991,"AZ","Total Electric Power Industry","Coal",32557748
"460",1991,"AZ","Total Electric Power Industry","Hydro",6735540
"461",1991,"AZ","Total Electric Power Industry","Natural Gas",2226388
"462",1991,"AZ","Total Electric Power Industry","Nuclear",25095776
"463",1991,"AZ","Total Electric Power Industry","Petroleum",117399
"465",1991,"AZ","Total Electric Power Industry","Wood",106788
"466",1991,"CA","Total Electric Power Industry","Total",158947642
"467",1991,"CA","Total Electric Power Industry","Coal",2632419
"468",1991,"CA","Total Electric Power Industry","Geothermal",14784796
"469",1991,"CA","Total Electric Power Industry","Hydro",21957064
"470",1991,"CA","Total Electric Power Industry","Natural Gas",74006160
"471",1991,"CA","Total Electric Power Industry","Nuclear",31541799
"475",1991,"CA","Total Electric Power Industry","Petroleum",1970119
"477",1991,"CA","Total Electric Power Industry","Solar",471361
"478",1991,"CA","Total Electric Power Industry","Wind",2914505
"479",1991,"CA","Total Electric Power Industry","Wood",4114644
"480",1991,"CO","Total Electric Power Industry","Total",32321593
"481",1991,"CO","Total Electric Power Industry","Coal",29134010
"482",1991,"CO","Total Electric Power Industry","Hydro",1794290
"483",1991,"CO","Total Electric Power Industry","Natural Gas",1314681
"485",1991,"CO","Total Electric Power Industry","Petroleum",37910
"487",1991,"CT","Total Electric Power Industry","Total",27036467
"488",1991,"CT","Total Electric Power Industry","Coal",3633427
"489",1991,"CT","Total Electric Power Industry","Hydro",433338
"490",1991,"CT","Total Electric Power Industry","Natural Gas",1571856
"491",1991,"CT","Total Electric Power Industry","Nuclear",12242911
"495",1991,"CT","Total Electric Power Industry","Petroleum",7993224
"497",1991,"DC","Total Electric Power Industry","Total",179814
"498",1991,"DC","Total Electric Power Industry","Coal",0
"499",1991,"DC","Total Electric Power Industry","Petroleum",179814
"500",1991,"DE","Total Electric Power Industry","Total",7838132
"501",1991,"DE","Total Electric Power Industry","Coal",4820759
"502",1991,"DE","Total Electric Power Industry","Natural Gas",1110236
"505",1991,"DE","Total Electric Power Industry","Petroleum",1900822
"506",1991,"FL","Total Electric Power Industry","Total",139416689
"507",1991,"FL","Total Electric Power Industry","Coal",62013484
"508",1991,"FL","Total Electric Power Industry","Hydro",263066
"509",1991,"FL","Total Electric Power Industry","Natural Gas",19758810
"510",1991,"FL","Total Electric Power Industry","Nuclear",20507569
"514",1991,"FL","Total Electric Power Industry","Petroleum",30599959
"515",1991,"FL","Total Electric Power Industry","Wood",2086128
"516",1991,"GA","Total Electric Power Industry","Total",96173131
"517",1991,"GA","Total Electric Power Industry","Coal",61034072
"518",1991,"GA","Total Electric Power Industry","Hydro",4232058
"519",1991,"GA","Total Electric Power Industry","Natural Gas",809826
"520",1991,"GA","Total Electric Power Industry","Nuclear",26016023
"523",1991,"GA","Total Electric Power Industry","Petroleum",541032
"525",1991,"GA","Total Electric Power Industry","Wood",3041610
"526",1991,"HI","Total Electric Power Industry","Total",8703235
"527",1991,"HI","Total Electric Power Industry","Coal",7612
"528",1991,"HI","Total Electric Power Industry","Hydro",70988
"531",1991,"HI","Total Electric Power Industry","Petroleum",7714453
"532",1991,"HI","Total Electric Power Industry","Wind",35621
"533",1991,"IA","Total Electric Power Industry","Total",32267856
"534",1991,"IA","Total Electric Power Industry","Coal",26756771
"535",1991,"IA","Total Electric Power Industry","Hydro",901111
"536",1991,"IA","Total Electric Power Industry","Natural Gas",388004
"537",1991,"IA","Total Electric Power Industry","Nuclear",4146811
"539",1991,"IA","Total Electric Power Industry","Petroleum",49892
"540",1991,"ID","Total Electric Power Industry","Total",9428619
"541",1991,"ID","Total Electric Power Industry","Coal",16359
"542",1991,"ID","Total Electric Power Industry","Hydro",8745279
"543",1991,"ID","Total Electric Power Industry","Natural Gas",107243
"546",1991,"ID","Total Electric Power Industry","Petroleum",361
"547",1991,"ID","Total Electric Power Industry","Wood",487645
"548",1991,"IL","Total Electric Power Industry","Total",130274345
"549",1991,"IL","Total Electric Power Industry","Coal",55060170
"550",1991,"IL","Total Electric Power Industry","Hydro",134457
"551",1991,"IL","Total Electric Power Industry","Natural Gas",1735870
"552",1991,"IL","Total Electric Power Industry","Nuclear",71866091
"555",1991,"IL","Total Electric Power Industry","Petroleum",910110
"556",1991,"IL","Total Electric Power Industry","Wood",211
"557",1991,"IN","Total Electric Power Industry","Total",101981299
"558",1991,"IN","Total Electric Power Industry","Coal",97457227
"559",1991,"IN","Total Electric Power Industry","Hydro",399051
"560",1991,"IN","Total Electric Power Industry","Natural Gas",1454748
"563",1991,"IN","Total Electric Power Industry","Petroleum",529353
"564",1991,"KS","Total Electric Power Industry","Total",32630743
"565",1991,"KS","Total Electric Power Industry","Coal",23435008
"566",1991,"KS","Total Electric Power Industry","Hydro",10567
"567",1991,"KS","Total Electric Power Industry","Natural Gas",3265529
"568",1991,"KS","Total Electric Power Industry","Nuclear",5858613
"569",1991,"KS","Total Electric Power Industry","Petroleum",60984
"570",1991,"KS","Total Electric Power Industry","Wind",42
"571",1991,"KY","Total Electric Power Industry","Total",75505081
"572",1991,"KY","Total Electric Power Industry","Coal",71713851
"573",1991,"KY","Total Electric Power Industry","Hydro",3657801
"574",1991,"KY","Total Electric Power Industry","Natural Gas",21871
"575",1991,"KY","Total Electric Power Industry","Petroleum",111558
"576",1991,"LA","Total Electric Power Industry","Total",74972693
"577",1991,"LA","Total Electric Power Industry","Coal",18968479
"578",1991,"LA","Total Electric Power Industry","Hydro",656492
"579",1991,"LA","Total Electric Power Industry","Natural Gas",36363381
"580",1991,"LA","Total Electric Power Industry","Nuclear",13956196
"584",1991,"LA","Total Electric Power Industry","Petroleum",55760
"585",1991,"LA","Total Electric Power Industry","Wood",2342071
"586",1991,"MA","Total Electric Power Industry","Total",41019791
